Date, North (mm), East (mm), Vertical (mm)
2007-08-29,16.86,-13.16,-0.34
2007-08-30,17.19,-12.51,-13.18
2007-08-31,16.10,-12.93,-6.52
2007-09-01,16.51,-12.91,-3.48
2007-09-02,16.42,-12.88,-8.15
2007-09-03,16.35,-13.72,-7.34
2007-09-04,17.01,-12.98,-6.94
2007-09-05,15.60,-13.60,-0.91
2007-09-06,16.14,-13.93,-4.88
2007-09-07,16.25,-13.40,-3.71
2007-09-08,17.13,-14.05,-3.99
2007-09-09,15.40,-14.30,-1.44
2007-09-10,18.93,-12.89,-11.58
2007-09-11,16.40,-13.59,-1.79
2007-09-12,17.48,-13.88,-7.90
2007-09-13,16.50,-14.18,-4.48
2007-09-14,16.81,-13.86,-6.17
2007-09-15,17.84,-14.65,0.35
2007-09-16,18.23,-14.43,-4.71
2007-09-17,15.64,-13.72,-12.14
2007-09-18,17.23,-13.87,-4.76
2007-09-19,18.12,-15.91,-9.89
2007-09-20,15.27,-14.85,-1.30
2007-09-21,15.94,-15.32,3.45
2007-09-22,20.02,-14.11,3.55
2007-09-23,16.51,-13.97,-9.76
2007-09-24,17.17,-13.92,-5.48
2007-09-25,15.06,-14.65,-7.07
2007-09-26,16.92,-14.86,1.96
2007-09-27,15.40,-15.01,-1.01
2007-09-28,16.46,-13.93,-2.54
2007-09-29,16.39,-16.27,-2.11
2007-09-30,16.28,-15.97,-2.55
2007-10-01,16.70,-15.57,-0.72
2007-10-02,17.05,-15.09,0.11
2007-10-03,19.18,-14.10,2.10
2007-10-04,17.37,-15.76,3.87
2007-10-05,15.87,-16.47,-1.70
2007-10-06,15.06,-16.41,-0.47
2007-10-07,16.56,-14.45,-6.02
2007-10-08,17.41,-15.10,0.26
2007-10-09,16.65,-14.02,0.02
2007-10-10,17.51,-15.10,-3.84
2007-10-11,15.90,-14.61,-2.84
2007-10-12,17.29,-15.27,1.75
2007-10-13,16.69,-14.95,-0.75
2007-10-14,16.90,-14.51,0.17
2007-10-15,17.58,-15.32,-2.89
2007-10-16,16.80,-17.68,0.56
2007-10-17,17.46,-16.47,-5.30
2007-10-18,16.04,-15.02,-7.69
2007-10-19,17.94,-14.81,0.14
2007-10-20,15.21,-16.92,2.73
2007-10-21,17.68,-16.82,1.92
2007-10-22,20.47,-13.81,-3.47
2007-10-23,23.74,-8.94,-9.67
2007-10-24,18.96,-15.69,-10.03
2007-10-25,17.09,-15.04,-4.05
2007-10-26,16.75,-15.08,-2.96
2007-10-27,18.88,-14.79,-7.78
2007-10-28,18.30,-15.51,-15.96
2007-10-29,19.21,-15.66,-4.04
2007-10-30,16.39,-14.55,-6.85
2007-10-31,17.35,-15.29,-5.21
2007-11-01,17.92,-14.70,-6.83
2007-11-02,18.27,-15.57,-7.78
2007-11-03,19.98,-15.37,-6.28
2007-11-04,18.05,-15.03,-5.25
2007-11-05,18.73,-15.99,-11.19
2007-11-06,18.70,-15.70,-5.95
2007-11-07,18.88,-17.27,-7.63
2007-11-08,17.04,-15.79,-9.28
2007-11-09,17.29,-15.58,-8.56
2007-11-10,17.31,-15.53,-11.75
2007-11-11,19.09,-16.38,-16.88
2007-11-12,17.99,-15.80,-15.13
2007-11-13,18.36,-16.69,-4.69
2007-11-14,19.01,-15.44,-11.44
2007-11-15,20.09,-16.24,-6.26
2007-11-16,18.29,-15.62,-10.04
2007-11-17,17.63,-16.22,-14.08
2007-11-18,18.70,-17.19,-9.20
2007-11-19,19.55,-16.65,-12.36
2007-11-20,19.27,-17.82,-16.09
2007-11-21,20.01,-17.81,-8.84
2007-11-22,19.01,-16.96,-16.01
2007-11-23,18.34,-16.60,-8.46
2007-11-24,19.39,-17.16,-9.39
2007-11-25,19.72,-16.78,-8.94
2007-11-26,19.52,-17.21,-17.68
2007-11-27,19.68,-16.24,-6.24
2007-11-28,19.26,-17.14,-12.36
2007-11-29,19.44,-16.75,-11.49
2007-11-30,18.38,-16.18,-16.46
2007-12-01,17.33,-17.03,-7.97
2007-12-02,19.23,-16.55,-10.26
2007-12-03,19.78,-15.67,-18.34
2007-12-04,19.59,-16.07,-12.02
2007-12-05,18.52,-15.59,-5.85
2007-12-06,21.11,-17.28,-8.86
2007-12-07,17.55,-17.94,-7.47
2007-12-08,14.29,-19.81,-8.21
2007-12-09,23.07,-15.37,-13.92
2007-12-10,21.30,-14.93,-7.93
2007-12-11,20.27,-17.00,-8.57
2007-12-12,20.64,-16.45,-15.85
2007-12-13,20.62,-16.83,-14.74
2007-12-14,20.42,-17.66,-9.23
2007-12-15,20.05,-16.04,-5.29
2007-12-16,20.39,-16.99,-11.56
2007-12-17,19.76,-17.59,-6.53
2007-12-18,19.13,-19.18,-4.01
2007-12-19,18.18,-19.81,-8.72
2007-12-20,18.40,-16.56,-4.71
2007-12-21,18.00,-17.27,-6.36
2007-12-22,21.30,-16.80,-12.50
2007-12-23,20.13,-15.77,-12.46
2007-12-24,20.90,-17.03,-3.57
2007-12-25,20.85,-17.61,-6.05
2007-12-26,20.21,-17.50,-5.18
2007-12-27,20.37,-16.90,-10.45
2007-12-28,18.12,-17.80,-11.19
2007-12-29,20.21,-20.50,-7.09
2007-12-30,17.58,-17.36,-4.58
2007-12-31,20.78,-18.09,-11.29
2008-01-01,20.34,-17.62,-10.28
2008-01-02,20.43,-16.91,-13.42
2008-01-03,20.00,-16.43,-6.11
2008-01-04,19.77,-16.82,-5.02
2008-01-05,20.16,-18.73,-3.56
2008-01-06,18.37,-18.88,-4.76
2008-01-07,20.01,-19.18,-2.99
2008-01-08,19.99,-16.85,-11.33
2008-01-09,20.43,-17.93,-13.96
2008-01-10,20.37,-18.67,-8.82
2008-01-11,20.11,-17.80,-4.94
2008-01-12,20.24,-18.94,-4.70
2008-01-13,20.56,-17.74,-18.85
2008-01-14,21.72,-16.83,-12.11
2008-01-15,21.12,-17.84,-7.96
2008-01-16,20.74,-18.54,-10.66
2008-01-17,20.96,-18.25,-7.32
2008-01-18,20.93,-17.20,-8.62
2008-01-19,21.64,-19.11,-13.47
2008-01-20,20.22,-17.50,-14.58
2008-01-21,19.79,-18.00,-11.40
2008-01-22,20.49,-17.94,-13.29
2008-01-23,21.44,-19.04,-5.69
2008-01-24,20.18,-18.82,-10.41
2008-01-25,23.97,-20.36,-3.70
2008-01-26,16.14,-17.65,-5.30
2008-01-27,23.58,-18.52,6.40
2008-01-28,19.11,-18.89,-9.21
2008-01-29,21.74,-18.16,-6.90
2008-01-30,21.60,-19.24,-16.64
2008-01-31,21.90,-17.54,-15.93
2008-02-01,20.87,-18.66,-19.62
2008-02-02,21.76,-18.90,-18.35
2008-02-03,18.22,-17.78,-16.04
2008-02-04,18.61,-18.43,-21.58
2008-02-05,22.53,-17.39,-16.50
2008-02-06,22.75,-18.50,-15.18
2008-02-07,22.45,-18.01,-15.18
2008-02-08,21.92,-18.46,-17.96
2008-02-09,21.00,-18.03,-10.27
2008-02-10,21.10,-17.69,-7.37
2008-02-11,20.74,-18.25,-5.01
2008-02-12,22.17,-17.09,-9.87
2008-02-13,21.17,-19.72,-7.91
2008-02-14,22.36,-19.05,-14.83
2008-02-15,22.15,-18.53,-9.19
2008-02-16,20.89,-18.16,-8.35
2008-02-17,20.28,-17.75,-7.97
2008-02-18,21.42,-18.60,-8.87
2008-02-19,21.58,-19.54,-11.59
2008-02-20,19.04,-18.18,-19.44
2008-02-21,20.89,-19.96,-9.88
2008-02-22,20.22,-17.91,-8.09
2008-02-23,20.60,-17.60,-9.41
2008-02-24,20.20,-17.66,-10.95
2008-02-25,21.97,-18.31,-18.14
2008-02-26,23.88,-19.25,-19.67
2008-02-27,22.31,-19.06,-19.01
2008-02-28,22.41,-20.73,-12.00
2008-02-29,23.65,-20.01,-9.63
2008-03-01,22.88,-20.06,-18.93
2008-03-02,21.52,-20.27,-9.34
2008-03-03,22.83,-20.15,-12.38
2008-03-04,22.13,-18.14,-11.94
2008-03-05,21.42,-19.21,-11.98
2008-03-06,22.27,-18.62,-13.91
2008-03-07,23.56,-19.65,-11.83
2008-03-08,22.70,-21.08,-7.56
2008-03-09,22.78,-20.97,-14.58
2008-03-10,22.16,-18.93,-10.40
2008-03-11,23.14,-18.76,-12.28
2008-03-12,24.30,-19.74,-11.49
2008-03-13,23.00,-21.65,-8.35
2008-03-14,21.84,-19.45,-14.94
2008-03-15,21.64,-22.25,-16.26
2008-03-16,20.81,-21.55,-9.33
2008-03-17,24.08,-19.49,-11.74
2008-03-18,23.29,-20.66,-13.63
2008-03-19,23.15,-20.23,-10.98
2008-03-20,22.78,-21.63,-12.21
2008-03-21,22.66,-20.00,-12.23
2008-03-22,23.07,-20.05,-13.55
2008-03-23,23.33,-20.51,-15.25
2008-03-24,25.26,-19.72,-11.58
2008-03-25,23.91,-21.28,-10.74
2008-03-26,22.62,-21.68,-14.10
2008-03-27,23.93,-22.82,-9.27
2008-03-28,23.29,-22.58,-10.82
2008-03-29,23.78,-20.42,-9.56
2008-03-30,23.70,-22.51,-14.15
2008-03-31,23.53,-19.97,-10.46
2008-04-01,23.64,-20.23,-11.34
2008-04-02,23.38,-20.21,-6.73
2008-04-03,23.30,-21.65,-11.39
2008-04-04,24.32,-20.17,-15.71
2008-04-05,24.26,-20.95,-9.12
2008-04-06,22.47,-22.08,-12.45
2008-04-07,22.59,-22.56,-6.59
2008-04-08,24.17,-22.02,-6.38
2008-04-09,22.99,-21.25,-5.87
2008-04-10,23.72,-21.62,-6.92
2008-04-11,23.78,-21.89,-5.80
2008-04-12,25.84,-22.43,-9.28
2008-04-13,24.99,-22.03,-9.84
2008-04-14,23.39,-21.42,-9.95
2008-04-15,24.89,-22.69,-6.62
2008-04-16,25.40,-22.33,-10.33
2008-04-17,24.90,-21.45,-12.62
2008-04-18,25.01,-20.47,-14.39
2008-04-19,25.15,-21.44,-10.09
2008-04-20,24.06,-22.02,-10.31
2008-04-21,24.02,-21.88,-9.22
2008-04-22,23.86,-20.80,-12.31
2008-04-23,24.44,-21.88,-11.64
2008-04-24,22.75,-20.88,-9.59
2008-04-25,25.25,-21.95,-8.40
2008-04-26,23.44,-20.23,-16.06
2008-04-27,23.90,-21.07,-11.14
2008-04-28,24.25,-21.38,-9.84
2008-04-29,25.39,-23.08,-12.00
2008-04-30,22.72,-21.55,-10.27
2008-05-01,25.18,-23.22,-4.35
2008-05-02,24.15,-21.30,-6.41
2008-05-03,24.62,-21.16,-5.40
2008-05-04,25.02,-21.84,-11.29
2008-05-05,23.68,-21.59,-12.64
2008-05-06,26.03,-21.19,-12.08
2008-05-07,23.41,-21.27,-6.98
2008-05-08,24.62,-21.46,-6.75
2008-05-09,22.39,-22.77,-8.49
2008-05-10,24.42,-20.36,-8.43
